Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Tremaine Smith, , 10.78, 2.04, 1.08, 1.02, 0.93, 0.95, 0.94, 0.93, 0.95, 0.94, 1.00
Jerod Wims, , 10.71, 1.92, 1.15, 0.99, 0.99, 0.93, 0.91, 0.92, 0.98, 0.95, 0.97
Ahmad Rashad, , 10.67, 1.98, 1.14, 0.97, 0.96, 0.92, 0.93, 0.90, 0.94, 0.95, 0.98
Matthieu Pritchett, , 10.63, 1.95, 1.09, 1.02, 0.96, 0.92, 0.91, 0.93, 0.95, 0.93, 0.97
J-Mee Samuels, , 10.58, 1.97, 1.05, 0.97, 0.95, 0.91, 0.92, 0.93, 0.94, 0.97, 0.97
DaBryan Blanton, , 10.46, 2.00, 1.04, 0.94, 0.94, 0.92, 0.90, 0.90, 0.93, 0.94, 0.95
Mardy Scales, , 10.36, 1.91, 1.08, 0.95, 0.91, 0.89, 0.92, 0.90, 0.91, 0.94, 0.95
Monzavous Edwards, , 10.35, 2.00, 1.07, 0.95, 0.92, 0.90, 0.91, 0.87, 0.92, 0.89, 0.92
Mark Jelks, , 10.32, 1.91, 1.07, 0.96, 0.93, 0.92, 0.90, 0.87, 0.93, 0.91, 0.92
Walter Dix, , 10.29, 1.96, 1.08, 0.95, 0.92, 0.90, 0.88, 0.88, 0.92, 0.89, 0.91
Leonard Scott, , 10.18, 1.90, 1.02, 0.90, 0.92, 0.88, 0.87, 0.88, 0.94, 0.92, 0.95
Shawn Crawford, , 10.17, 1.97, 1.05, 0.97, 0.89, 0.89, 0.89, 0.85, 0.90, 0.88, 0.88
Justin Gatlin, , 10.08, 1.97, 1.05, 0.93, 0.89, 0.88, 0.86, 0.85, 0.90, 0.89, 0.86
Shingo Suetsugu, , 10.26, 1.97, 1.05, 0.94, 0.91, 0.89, 0.88, 0.89, 0.89, 0.92, 0.92
Marcus Brunson, , 10.12, 1.97, 1.03, 0.93, 0.89, 0.87, 0.87, 0.88, 0.88, 0.89, 0.91
Justin Gatlin, , 9.95, 1.93, 1.02, 0.93, 0.89, 0.86, 0.86, 0.86, 0.86, 0.86, 0.88
Oluji Fasuba, 0.158, 9.85, 1.672, 1.02, 0.94, 0.86, 0.85, 0.85, 0.86, 0.87, 0.88, 0.89
Justin Gatlin, , 9.77, 1.93, 1.05, 0.91, 0.85, 0.84, 0.81, 0.82, 0.86, 0.84, 0.86
Asafa Powell, 0.145, 9.77, 1.715, 1.02, 0.93, 0.87, 0.85, 0.84, 0.84, 0.85, 0.85, 0.86
J-Mee Samuels, , 11.01, 1.97, 1.03, 0.95, 0.92, 0.89, 0.90, 0.91, 0.98, 1.14, 1.32
Dominique Worsley, , 10.58, 2.04, 1.06, 1.00, 0.94, 0.92, 0.90, 0.89, 0.89, 0.98, 0.96
Scott Wims, , 10.46, 2.01, 1.09, 0.96, 0.93, 0.90, 0.90, 0.92, 0.90, 0.93, 0.92
Brandon Myers, , 10.46, 2.00, 1.07, 0.97, 0.92, 0.93, 0.87, 0.90, 0.90, 0.95, 0.95
Evander Wells, , 10.45, 2.00, 1.04, 0.95, 0.92, 0.88, 0.93, 0.89, 0.93, 0.96, 0.95
Odell Harris, , 10.40, 2.00, 1.07, 0.96, 0.93, 0.86, 0.89, 0.90, 0.92, 0.96, 0.91
Gordon McKenzie, , 10.30, 1.97, 1.05, 0.97, 0.90, 0.87, 0.88, 0.90, 0.90, 0.96, 0.90
Willie Perry, , 10.12, 2.02, 1.07, 0.92, 0.93, 0.85, 0.87, 0.85, 0.85, 0.88, 0.88
Jeff Laynes, , 10.44, 1.95, 1.04, 0.96, 0.92, 0.89, 0.91, 0.92, 0.92, 0.96, 0.97
Trell Kimmons, , 10.36, 1.94, 1.03, 0.95, 0.92, 0.88, 0.93, 0.89, 0.93, 0.92, 0.97
Demi Omole, , 10.35, 1.96, 1.03, 0.93, 0.90, 0.89, 0.93, 0.90, 0.92, 0.97, 0.92
Mardy Scales, , 10.34, 1.94, 1.06, 0.94, 0.92, 0.90, 0.89, 0.89, 0.92, 0.93, 0.95
Bernard Williams, , 10.33, 1.95, 1.07, 1.02, 0.85, 0.91, 0.87, 0.90, 0.90, 0.92, 0.94
Shawn Crawford, , 10.30, 1.98, 1.06, 0.95, 0.92, 0.88, 0.87, 0.90, 0.88, 0.92, 0.94
Justin Gatlin, , 9.99, 1.90, 1.02, 0.95, 0.85, 0.89, 0.86, 0.85, 0.87, 0.88, 0.92
John Woods, , 10.45, 1.95, 1.08, 0.97, 0.90, 0.94, 0.90, 0.91, 0.92, 0.96, 0.92
DaBryan Blanton, , 10.43, 1.97, 1.07, 0.91, 0.91, 0.89, 0.91, 0.93, 0.93, 0.97, 0.94
Kelly Willie, , 10.32, 1.95, 1.10, 0.92, 0.90, 0.87, 0.90, 0.88, 0.92, 0.95, 0.93
Kaaron Conwright, , 10.26, 1.93, 1.04, 0.95, 0.90, 0.90, 0.90, 0.88, 0.92, 1.14, 0.70
Jason Smoots, , 10.25, 1.96, 1.08, 0.91, 0.89, 0.88, 0.89, 0.88, 0.90, 0.95, 0.91
Jordan Vaden, , 10.24, 1.90, 1.07, 0.93, 0.92, 0.89, 0.88, 0.87, 0.92, 0.95, 0.91
Tyson Gay, , 10.15, 1.93, 1.05, 0.94, 0.90, 0.87, 0.86, 0.87, 0.89, 0.92, 0.92
Mardy Scales, , 10.43, 1.97, 1.06, 0.93, 0.91, 0.90, 0.93, 0.89, 0.90, 0.99, 0.95
Bernard Williams, , 10.36, 2.00, 1.07, 0.90, 0.92, 0.87, 0.90, 0.90, 0.88, 0.99, 0.93
Kaaron Conwright, , 10.33, 1.95, 1.05, 0.96, 0.88, 0.90, 0.90, 0.90, 0.94, 0.91, 0.94
Jason Smoots, , 10.29, 1.97, 1.05, 0.95, 0.90, 0.89, 0.90, 0.86, 0.91, 0.91, 0.95
Jordan Vaden, , 10.27, 2.01, 1.07, 0.93, 0.88, 0.90, 0.90, 0.85, 0.94, 0.88, 0.91
Shawn Crawford, , 10.26, 1.99, 1.05, 0.93, 0.87, 0.92, 0.88, 0.86, 0.89, 0.94, 0.93
Tyson Gay, , 10.07, 1.99, 1.05, 0.92, 0.86, 0.89, 0.86, 0.84, 0.86, 0.91, 0.89
Justin Gatlin, , 9.93, 1.92, 1.06, 0.89, 0.86, 0.86, 0.87, 0.83, 0.87, 0.90, 0.87
Tyson Gay, 0.152, 9.84, 1.748, 1.03, 0.94, 0.88, 0.86, 0.85, 0.84, 0.84, 0.85, 0.85
Asafa Powell, 0.148, 9.77, 1.722, 1.02, 0.92, 0.87, 0.84, 0.84, 0.84, 0.85, 0.86, 0.86
Naoki Tsukahara, , 10.26, 1.97, 1.05, 0.94, 0.91, 0.89, 0.88, 0.89, 0.89, 0.92, 0.92
Shingo Suetsugu, , 10.12, 1.97, 1.03, 0.93, 0.89, 0.87, 0.87, 0.88, 0.88, 0.89, 0.91
